Match,Team 1,Team 2,Date,Time,Season
Match 54,Lucknow Super Giants,Kolkata Knight Riders,2024-05-05,7:30 pm,2024
Match 55,Mumbai Indians,Sunrisers Hyderabad,2024-05-06,7:30 pm,2024
Match 56,Delhi Capitals,Rajasthan Royals,2024-05-07,7:30 pm,2024
Match 57,Sunrisers Hyderabad,Lucknow Super Giants,2024-05-08,7:30 pm,2024
Match 58,Punjab Kings,Royal Challengers Bengaluru,2024-05-09,7:30 pm,2024
Match 59,Gujarat Titans,Chennai Super Kings,2024-05-10,7:30 pm,2024
Match 60,Kolkata Knight Riders,Mumbai Indians,2024-05-11,7:30 pm,2024
Match 61,Chennai Super Kings,Rajasthan Royals,2024-05-12,3:30 pm,2024
Match 62,Royal Challengers Bengaluru,Delhi Capitals,2024-05-12,7:30 pm,2024
Match 63,Gujarat Titans,Kolkata Knight Riders,2024-05-13,7:30 pm,2024
Match 64,Delhi Capitals,Lucknow Super Giants,2024-05-14,7:30 pm,2024
Match 65,Rajasthan Royals,Punjab Kings,2024-05-15,7:30 pm,2024
Match 66,Sunrisers Hyderabad,Gujarat Titans,2024-05-16,7:30 pm,2024
Match 67,Mumbai Indians,Lucknow Super Giants,2024-05-17,7:30 pm,2024
Match 68,Royal Challengers Bengaluru,Chennai Super Kings,2024-05-18,7:30 pm,2024
Match 69,Sunrisers Hyderabad,Punjab Kings,2024-05-19,3:30 pm,2024
Match 70,Rajasthan Royals,Kolkata Knight Riders,2024-05-19,7:30 pm,2024
Qualifier 1,Kolkata Knight Riders,Sunrisers Hyderabad,2024-05-21,7:30 pm,2024
Eliminator,Rajasthan Royals,Royal Challengers Bengaluru,2024-05-22,7:30 pm,2024
Qualifier 2,Sunrisers Hyderabad,Rajasthan Royals,2024-05-24,7:30 pm,2024
Final,Kolkata Knight Riders,Sunrisers Hyderabad,2024-05-26,7:30 pm,2024
